EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,,,,,,,,,,,,,,,,,,,,,
5328862,NEW YORK (MANHATTAN) (ZONE), ,12/5/2003,1700,Heavy Snow, , ,0,0,0,0,NY,EST, ,1165251,Z,72,OKX,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"
As a cold high pressure system settled over New England, a series of low pressure systems developed off the Mid Atlantic Coast during Friday, December 5th and Saturday, December 6th.

The first low pressure system developed along the North Carolina Coast during Friday morning.  As this low moved northeast, it intensified.  Light snow developed and quickly spread northeast across the area during the morning.  Snowfall became heavy across the NYC Metro Area, Long Island, and Southern Westchester County during the afternoon. Between 7 and 10 pm that evening, a 6 to 10 inch snowfall occurred across this area.  There were major impacts to mass transit operations during the evening's rush"" hours.  As this low moved southeast of Long Island", snowfall intensity decreased and became light across the region.,,,,,,,,,,,,,,,,,,,,,,,
5329290,OTSEGO (ZONE), ,12/6/2003,1200,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,46,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",30,,,,,,,,,,,,,,,,,,,,,,,
5329287,DELAWARE (ZONE), ,12/6/2003,1200,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,57,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",31,,,,,,,,,,,,,,,,,,,,,,,
5329292,SULLIVAN (ZONE), ,12/6/2003,1400,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,62,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",32,,,,,,,,,,,,,,,,,,,,,,,
5329285,CHENANGO (ZONE), ,12/6/2003,1400,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,45,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",33,,,,,,,,,,,,,,,,,,,,,,,
5329293,TIOGA (ZONE), ,12/6/2003,1600,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,55,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",34,,,,,,,,,,,,,,,,,,,,,,,
5329284,BROOME (ZONE), ,12/6/2003,1600,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,56,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",35,,,,,,,,,,,,,,,,,,,,,,,
5329294,TOMPKINS (ZONE), ,12/6/2003,1600,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,25,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",36,,,,,,,,,,,,,,,,,,,,,,,
5329286,CORTLAND (ZONE), ,12/6/2003,1800,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,44,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",37,,,,,,,,,,,,,,,,,,,,,,,
5329288,MADISON (ZONE), ,12/6/2003,2000,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,36,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",38,,,,,,,,,,,,,,,,,,,,,,,
5329289,NORTHERN ONEIDA (ZONE), ,12/6/2003,2200,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,9,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",39,,,,,,,,,,,,,,,,,,,,,,,
5329291,SOUTHERN ONEIDA (ZONE), ,12/6/2003,2200,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1165206,Z,37,BGM,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"A surface low pressure system moved northeast out of the lower plains on the 3rd, before slowly dissipating in the Ohio valley.  A new storm developed off the North Carolina coast early on the 5th, then moved slowly up the east coast of the United States.  Snow started in northeast Pennsylvania the afternoon of the 5th, then moved slowly north into central New York that night.  The heaviest snow fell the first half of the 6th.  The snow slowly tapered off from southwest to northeast the afternoon and evening of the 6th.  Snowfall amounts were mostly 5 to 9 inches.   Higher amounts of 10 to 15 inches were across the higher terrain in Otsego and Delaware Counties.",40,,,,,,,,,,,,,,,,,,,,,,,
5331195,ORLEANS (ZONE), ,12/12/2003,1700,Heavy Snow, , ,0,0,10000,0,NY,EST, ,1164808,Z,2,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Multiple lake effect snow bands developed in a cold northwest flow following a strong cold front. Off Lake Erie, the activity was concentrated along higher elevations of Chautauqua, Cattaraugus and Wyoming counties. Snow totals from the day and a half event included 12 in Ellicottville"," 8"" in South Dayton and Arcade"," 9"" in Albion and 7"" in Webster.""",41,,,,,,,,,,,,,,,,,,,,,
5331196,MONROE (ZONE), ,12/12/2003,1900,Heavy Snow, , ,0,0,15000,0,NY,EST, ,1164808,Z,3,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Multiple lake effect snow bands developed in a cold northwest flow following a strong cold front. Off Lake Erie, the activity was concentrated along higher elevations of Chautauqua, Cattaraugus and Wyoming counties. Snow totals from the day and a half event included 12 in Ellicottville"," 8"" in South Dayton and Arcade"," 9"" in Albion and 7"" in Webster.""",42,,,,,,,,,,,,,,,,,,,,,
5331197,CATTARAUGUS (ZONE), ,12/12/2003,2000,Heavy Snow, , ,0,0,10000,0,NY,EST, ,1164808,Z,20,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Multiple lake effect snow bands developed in a cold northwest flow following a strong cold front. Off Lake Erie, the activity was concentrated along higher elevations of Chautauqua, Cattaraugus and Wyoming counties. Snow totals from the day and a half event included 12 in Ellicottville"," 8"" in South Dayton and Arcade"," 9"" in Albion and 7"" in Webster.""",43,,,,,,,,,,,,,,,,,,,,,
5328327,GENESEE (ZONE), ,12/14/2003,1240,Heavy Snow, , ,0,0,10000,0,NY,EST, ,1164812,Z,11,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure intensified as it moved from the Gulf Coast up the mid-Atlantic coast to New England and brought a general snow to the entire region. The event lasted 24 to 30 hours from the early morning of  Sunday the 14th through early Monday. Amounts across the Genesee Valley and western Finger Lakes ranged from six to twelve inches while across the eastern Lake Ontario region one to two feet of snow fell. Specific storm total amounts reported were:  21 in Brantingham; 20"" in Lowville; 18"" in West Monroe and Redfield; 17"" in Fulton; 16"" in Woodville and Hooker;  15"" in Highmarket"," Fairhaven and Macedon; 14"" in Fort Drum; 13"" in Oswego and Spencerport; 12"" in Walworth and Greece; 11"" in Webster and Fairport; 10"" in Penfield and Rochester; 9"" in Victor; 8"" in Whitesville and Batavia; and 7"" in Geneva", Leroy and Albion.  The typical rash of automobile accidents occurred as a result of the wintry conditions. Several injuries, some serious, and one fatality (in Ira) were a reported in the accidents. At the Rochester International Airport," a small plane slid off a taxiway and got stuck in the snow.""",44,,,,,,,,,,,,,,,,,,
5328328,MONROE (ZONE), ,12/14/2003,1455,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1164812,Z,3,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure intensified as it moved from the Gulf Coast up the mid-Atlantic coast to New England and brought a general snow to the entire region. The event lasted 24 to 30 hours from the early morning of  Sunday the 14th through early Monday. Amounts across the Genesee Valley and western Finger Lakes ranged from six to twelve inches while across the eastern Lake Ontario region one to two feet of snow fell. Specific storm total amounts reported were:  21 in Brantingham; 20"" in Lowville; 18"" in West Monroe and Redfield; 17"" in Fulton; 16"" in Woodville and Hooker;  15"" in Highmarket"," Fairhaven and Macedon; 14"" in Fort Drum; 13"" in Oswego and Spencerport; 12"" in Walworth and Greece; 11"" in Webster and Fairport; 10"" in Penfield and Rochester; 9"" in Victor; 8"" in Whitesville and Batavia; and 7"" in Geneva", Leroy and Albion.  The typical rash of automobile accidents occurred as a result of the wintry conditions. Several injuries, some serious, and one fatality (in Ira) were a reported in the accidents. At the Rochester International Airport," a small plane slid off a taxiway and got stuck in the snow.""",45,,,,,,,,,,,,,,,,,,
5328329,ORLEANS (ZONE), ,12/14/2003,1600,Heavy Snow, , ,0,0,10000,0,NY,EST, ,1164812,Z,2,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure intensified as it moved from the Gulf Coast up the mid-Atlantic coast to New England and brought a general snow to the entire region. The event lasted 24 to 30 hours from the early morning of  Sunday the 14th through early Monday. Amounts across the Genesee Valley and western Finger Lakes ranged from six to twelve inches while across the eastern Lake Ontario region one to two feet of snow fell. Specific storm total amounts reported were:  21 in Brantingham; 20"" in Lowville; 18"" in West Monroe and Redfield; 17"" in Fulton; 16"" in Woodville and Hooker;  15"" in Highmarket"," Fairhaven and Macedon; 14"" in Fort Drum; 13"" in Oswego and Spencerport; 12"" in Walworth and Greece; 11"" in Webster and Fairport; 10"" in Penfield and Rochester; 9"" in Victor; 8"" in Whitesville and Batavia; and 7"" in Geneva", Leroy and Albion.  The typical rash of automobile accidents occurred as a result of the wintry conditions. Several injuries, some serious, and one fatality (in Ira) were a reported in the accidents. At the Rochester International Airport," a small plane slid off a taxiway and got stuck in the snow.""",46,,,,,,,,,,,,,,,,,,
5328330,WYOMING (ZONE), ,12/14/2003,1700,Heavy Snow, , ,0,0,5000,0,NY,EST, ,1164812,Z,12,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure intensified as it moved from the Gulf Coast up the mid-Atlantic coast to New England and brought a general snow to the entire region. The event lasted 24 to 30 hours from the early morning of  Sunday the 14th through early Monday. Amounts across the Genesee Valley and western Finger Lakes ranged from six to twelve inches while across the eastern Lake Ontario region one to two feet of snow fell. Specific storm total amounts reported were:  21 in Brantingham; 20"" in Lowville; 18"" in West Monroe and Redfield; 17"" in Fulton; 16"" in Woodville and Hooker;  15"" in Highmarket"," Fairhaven and Macedon; 14"" in Fort Drum; 13"" in Oswego and Spencerport; 12"" in Walworth and Greece; 11"" in Webster and Fairport; 10"" in Penfield and Rochester; 9"" in Victor; 8"" in Whitesville and Batavia; and 7"" in Geneva", Leroy and Albion.  The typical rash of automobile accidents occurred as a result of the wintry conditions. Several injuries, some serious, and one fatality (in Ira) were a reported in the accidents. At the Rochester International Airport," a small plane slid off a taxiway and got stuck in the snow.""",47,,,,,,,,,,,,,,,,,,
5328331,JEFFERSON (ZONE), ,12/14/2003,1707,Heavy Snow, , ,0,0,25000,0,NY,EST, ,1164812,Z,7,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure intensified as it moved from the Gulf Coast up the mid-Atlantic coast to New England and brought a general snow to the entire region. The event lasted 24 to 30 hours from the early morning of  Sunday the 14th through early Monday. Amounts across the Genesee Valley and western Finger Lakes ranged from six to twelve inches while across the eastern Lake Ontario region one to two feet of snow fell. Specific storm total amounts reported were:  21 in Brantingham; 20"" in Lowville; 18"" in West Monroe and Redfield; 17"" in Fulton; 16"" in Woodville and Hooker;  15"" in Highmarket"," Fairhaven and Macedon; 14"" in Fort Drum; 13"" in Oswego and Spencerport; 12"" in Walworth and Greece; 11"" in Webster and Fairport; 10"" in Penfield and Rochester; 9"" in Victor; 8"" in Whitesville and Batavia; and 7"" in Geneva", Leroy and Albion.  The typical rash of automobile accidents occurred as a result of the wintry conditions. Several injuries, some serious, and one fatality (in Ira) were a reported in the accidents. At the Rochester International Airport," a small plane slid off a taxiway and got stuck in the snow.""",48,,,,,,,,,,,,,,,,,,
5328332,OSWEGO (ZONE), ,12/14/2003,1710,Heavy Snow, , ,0,0,20000,0,NY,EST, ,1164812,Z,6,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure intensified as it moved from the Gulf Coast up the mid-Atlantic coast to New England and brought a general snow to the entire region. The event lasted 24 to 30 hours from the early morning of  Sunday the 14th through early Monday. Amounts across the Genesee Valley and western Finger Lakes ranged from six to twelve inches while across the eastern Lake Ontario region one to two feet of snow fell. Specific storm total amounts reported were:  21 in Brantingham; 20"" in Lowville; 18"" in West Monroe and Redfield; 17"" in Fulton; 16"" in Woodville and Hooker;  15"" in Highmarket"," Fairhaven and Macedon; 14"" in Fort Drum; 13"" in Oswego and Spencerport; 12"" in Walworth and Greece; 11"" in Webster and Fairport; 10"" in Penfield and Rochester; 9"" in Victor; 8"" in Whitesville and Batavia; and 7"" in Geneva", Leroy and Albion.  The typical rash of automobile accidents occurred as a result of the wintry conditions. Several injuries, some serious, and one fatality (in Ira) were a reported in the accidents. At the Rochester International Airport," a small plane slid off a taxiway and got stuck in the snow.""",49,,,,,,,,,,,,,,,,,,
5328334,CATTARAUGUS (ZONE), ,12/14/2003,1715,Heavy Snow, , ,0,0,10000,0,NY,EST, ,1164812,Z,20,BUF,0,0,TRAINED SPOTTER,,,, , , , , , , , , ,,"Low pressure intensified as it moved from the Gulf Coast up the mid-Atlantic coast to New England and brought a general snow to the entire region. The event lasted 24 to 30 hours from the early morning of  Sunday the 14th through early Monday. Amounts across the Genesee Valley and western Finger Lakes ranged from six to twelve inches while across the eastern Lake Ontario region one to two feet of snow fell. Specific storm total amounts reported were:  21 in Brantingham; 20"" in Lowville; 18"" in West Monroe and Redfield; 17"" in Fulton; 16"" in Woodville and Hooker;  15"" in Highmarket"," Fairhaven and Macedon; 14"" in Fort Drum; 13"" in Oswego and Spencerport; 12"" in Walworth and Greece; 11"" in Webster and Fairport; 10"" in Penfield and Rochester; 9"" in Victor; 8"" in Whitesville and Batavia; and 7"" in Geneva", Leroy and Albion.  The typical rash of automobile accidents occurred as a result of the wintry conditions. Several injuries, some serious, and one fatality (in Ira) were a reported in the accidents. At the Rochester International Airport," a small plane slid off a taxiway and got stuck in the snow.""",50,,,,,,,,,,,,,,,,,,
