EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,
5261888,MONO (ZONE), ,7/5/2001,1430,Heavy Rain, , ,0,0,0,0,CA,PST, ,1121124,Z,73,REV,0,0,LAW ENFORCEMENT, , , , , , , , , , , , ,,Mono County Sheriffs Office reported that very heavy rain caused a rock and mud slide that closed Highway 120 near Tioga Pass for approximately 2 1/2 hours.  No injuries or damage were reported.,11,,
5266086,SW SJ VALLEY (ZONE), ,9/3/2001,742,Heavy Rain, , ,0,0,0,0,CA,PST, ,1122730,Z,91,HNX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , ,12,,
5266087,E CENTRAL SJ VALLEY (ZONE), ,9/3/2001,742,Heavy Rain, , ,0,0,0,0,CA,PST, ,1122730,Z,90,HNX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , ,13,,
5266088,KERN CTY MTNS (ZONE), ,9/3/2001,1235,Heavy Rain, , ,0,0,0,0,CA,PST, ,1122730,Z,95,HNX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , ,14,,
5266090,SE KERN CTY DESERT (ZONE), ,9/3/2001,1235,Heavy Rain, , ,0,0,0,0,CA,PST, ,1122730,Z,99,HNX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , ,15,,
5266089,INDIAN WELLS VLY (ZONE), ,9/3/2001,1235,Heavy Rain, , ,0,0,0,0,CA,PST, ,1122730,Z,98,HNX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , ,16,,
5281351,MARIN CO.,CARTE MADERA,1/1/2002,300,Heavy Rain, , ,0,0,200000,0,CA,PST, ,1131447,C,41,MTR,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,CARTE MADERA, , , ,17,,
5299748,LASSEN CO.,BIEBER,5/31/2002,1600,Heavy Rain, , ,0,0,0,0,CA,PST, ,1135545,C,35,REV,0,0,TRAINED SPOTTER, , , , , , , ,BIEBER, , , , ,,One inch of rain reported in 30 minutes from a thunderstorms by a spotter near Bieber in northern Lassen County.,18,,
5321775,LASSEN CO.,COUNTYWIDE,11/7/2002,900,Heavy Rain, , ,0,0,0,0,CA,PST, ,1145385,C,35,REV,0,0,TRAINED SPOTTER, , , , , , , ,COUNTYWIDE, , , , ,Numerous spotter reports of heavy rain overnight.  Rainfall total of 2 to 3 inches were common.  No flooding reported.,,19,,
5321768,LASSEN CO.,DOYLE,11/7/2002,1800,Heavy Rain, , ,0,0,0,0,CA,PST, ,1145378,C,35,REV,0,0,TRAINED SPOTTER, , , , , , , ,DOYLE, , , , ,Spotter reported overnight rainfall total of 1.62 inches.,,20,,
5325458,LASSEN CO.,JANESVILLE,12/13/2002,850,Heavy Rain, , ,0,0,0,0,CA,PST, ,1146457,C,35,REV,0,0,TRAINED SPOTTER, , , , , , , ,JANESVILLE, , , , ,Report of 1.73 inches of rain in 24 hours.,,21,,
5349226,MARIPOSA CO.,FISH CAMP,3/15/2003,300,Heavy Rain, , ,0,0,0,0,CA,PST, ,1149236,C,43,HNX,0,0,TRAINED SPOTTER, , , , , , , ,FISH CAMP, , , , ,,"Tuolumne Meadows received 16 inches of new snow, Tamarack Summit 26",22,,
5350583,MADERA CO.,MADERA,4/1/2003,0,Heavy Rain, , ,0,0,0,13200000,CA,PST, ,1149809,C,39,HNX,0,0,GOVT OFFICIAL, , , , , , , ,MADERA, , , , ,,"April and the first half of May 2003 in the Central and Southern San Joaquin Valley was marked by unusual and persistent cool, wet weather. Normally summer agricultural operations are in full swing by the 1st week in April. Despite a relatively dry November through March period for the area, the month of April was the 7th wettest with 2.84 of rain (2.08"" above normal) since records began in Fresno in 1888 and the wettest since 1978 when 2.85"" fell. The average temperature of 58.6F in Fresno for April was the coldest since 57.2F in 1976. Other sites in the San Joaquin Valley were similarly affected leading to the crop damage assessments. Cherries were the hardest hit in Fresno County; cotton planting was hurt the most in Madera County; and",23,,
5354656,MADERA CO.,COUNTYWIDE,5/1/2003,0,Heavy Rain, , ,0,0,0,7810000,CA,PST, ,1151540,C,39,HNX,0,0,GOVT OFFICIAL, , , , , , , ,COUNTYWIDE, , , , ,,"As reported in the April 2003 time period, abnormally cool and wet weather persisted well into the Spring in the Central San Joaquin Valley. In addition to the damage reported in the April report to various crops in the Central San Joaquin Valley, the Madera and Kings County Ag Commissioners also reported that the wheat crop in their respective counties were additionally afflicted with striped rust disease due to the cool, wet April and early May. Other agricultural losses that were reported but not yet quantified by April included damage in Tulare County, Kern County, and Merced County.",24,,
5376034,LASSEN CO.,SUSANVILLE,7/23/2003,1530,Heavy Rain, , ,0,0,0,0,CA,PST, ,1158056,C,35,REV,0,0,TRAINED SPOTTER, , , , , , , ,SUSANVILLE, , , , ,A spotter measured .88 inches of rain in an hour from a thunderstorm.  Minor street flooding was reported.,,25,,
5376089,LASSEN CO.,SUSANVILLE,7/23/2003,1530,Heavy Rain, , ,0,0,0,0,CA,PST, ,1158058,C,35,REV,0,0,TRAINED SPOTTER, , , , , , , ,SUSANVILLE, , , , ,"One inch of rain fell in the Willard Hill area, about 9 miles west of Susanville.  No flooding was reported.",,26,,
5374979,LASSEN CO.,DOYLE,8/2/2003,1100,Heavy Rain, , ,0,0,0,0,CA,PST, ,1162152,C,35,REV,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,DOYLE, , , ,27,,
5337823,MARIPOSA CO.,YOSEMITE VLG,9/3/2003,1012,Heavy Rain, , ,0,0,0,0,CA,PST, ,1162957,C,43,HNX,0,0,AWOS,ASOS,MESONET,ETC, , , ,7,NW,7,NW,YOSEMITE VLG, , , ,28,,
5431659,LASSEN CO.,JANESVILLE,7/1/2004,1800,Heavy Rain, , ,0,0,0,0,CA,PST, ,2152342,C,35,REV,0,0,TRAINED SPOTTER, , , , , , , ,JANESVILLE, , , , ,"A total of 1.75 inches of rain fell in one hour at Willard Hill on Highway 36, west of Susanville and east of Fredonyer Pass.",,29,,
5432060,LASSEN CO.,DOYLE,7/24/2004,1535,Heavy Rain, , ,0,0,0,0,CA,PST, ,2152353,C,35,REV,0,0,TRAINED SPOTTER, , , ,1,W,1,W,DOYLE, , , , ,A total of 0.75 inches of rain fell in 45 minutes.,,30,,
5431258,MARIPOSA CO.,COUNTYWIDE,12/7/2004,250,Heavy Rain, , ,0,0,0,0,CA,PST, ,1183103,C,43,HNX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"Following a light precipitation month in November, the northern portions of Interior Central California had significant rainfall sweep across the San Joaquin Valley and adjacent foothill portions of the area's northern counties: In just a little over 24 hours over the 7th and 8th of the month Merced received 1.14 inches of rain, and Fresno 0.88.  In the South San Joaquin Valley",31,,
5431257,MADERA CO.,COUNTYWIDE,12/7/2004,253,Heavy Rain, , ,0,0,0,0,CA,PST, ,1183103,C,39,HNX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"Following a light precipitation month in November, the northern portions of Interior Central California had significant rainfall sweep across the San Joaquin Valley and adjacent foothill portions of the area's northern counties: In just a little over 24 hours over the 7th and 8th of the month Merced received 1.14 inches of rain, and Fresno 0.88.  In the South San Joaquin Valley",32,,
5431262,MARIPOSA CO.,COUNTYWIDE,12/27/2004,504,Heavy Rain, , ,0,0,0,0,CA,PST, ,1183105,C,43,HNX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"While much of December was relatively dry in Interior Central California with a brief 2-day period of rain on the 7th and 8th, the last 5 days of the month became exceptionally wet and extended well into January. Daily record rainfalls were recorded at Bakersfield on the 30th and 31st in the South San Joaquin Valley with amounts of 0.40 and 0.38""",33,,
5431264,MADERA CO.,COUNTYWIDE,12/27/2004,1000,Heavy Rain, , ,0,0,0,0,CA,PST, ,1183105,C,39,HNX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"While much of December was relatively dry in Interior Central California with a brief 2-day period of rain on the 7th and 8th, the last 5 days of the month became exceptionally wet and extended well into January. Daily record rainfalls were recorded at Bakersfield on the 30th and 31st in the South San Joaquin Valley with amounts of 0.40 and 0.38""",34,,
5430705,LOS ANGELES CO.,COUNTYWIDE,12/27/2004,1700,Heavy Rain, , ,0,0,0,0,CA,PST, ,1182734,C,37,LOX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,COUNTYWIDE, , , ,35,,
5430720,LOS ANGELES CO.,COUNTYWIDE,12/31/2004,730,Heavy Rain, , ,0,0,0,0,CA,PST, ,1182736,C,37,LOX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,COUNTYWIDE, , , ,36,,
5438251,MADERA CO.,COUNTYWIDE,1/1/2005,0,Heavy Rain, , ,0,0,0,0,CA,PST, ,1184564,C,39,HNX,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE, , , , ,,"Consistent above normal rainfall for the water year"" continued into Calendar Year 2005. Late December winter storms in the Southern Sierra Nevada and Tehachapi Mountains and associated heavy rain on the adjacent San Joaquin Valley and Kern County Desert Floor continued into the first 4 days of January. On the Valley floor Merced had 0.52"" in the 1st 4 days of the month",37,,
5438919,LOS ANGELES CO.,COUNTYWIDE,1/7/2005,200,Heavy Rain, , ,0,0,5000000,0,CA,PST, ,1184695,C,37,LOX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"A powerful Pacific storm brought heavy rain, snow, flash flooding, high winds and landslides to Central and Southern California. During the 5 day event, rainfall totals ranged from 3 to 10 inches over coastal areas with up to 32 inches in the mountains. With such copious rainfall, flash flooding was a serious problem across Santa Barbara, Ventura and Los Angeles counties. In Santa Barbara county, flash flooding and mudslides closed Gibraltar Road at Mt. Calvary Road, stranding several vehicles, while mudslides inundated 3 homes in Lake Casitas. Across Ventura county, flash flooding and mudslides closed down Creek Road at Hermosa Road. In addition, the Ventura Beach RV Resort was flooded and Highways 1 and 126 were closed due to flooding. Across Los Angeles county, flash flooding killed a homeless man in Elysian Park, flooded a mobile home park in Santa Clarita, closed Highway 1 and caused numerous problems in Palmdale. In the mountains, 4 to 12 feet of snowfall was recorded along with southeast winds between 30 and 50 MPH with higher gusts. Across the Central Coast and in the Salinas River Valley, high winds gusting to 65 MPH knocked down numerous trees and power lines. In La Conchita, a devastating mudslide killed 10 people, destroyed 15 homes and damaged 12 other homes. Overall, damage estimates for the entire series of storms that started December 27th, 2004 and ended on January 11th, 2005 were easily over $200 million with the most damage incurred by agricultural interests in Ventura county.",38,,
5438337,MARIPOSA CO.,COUNTYWIDE,1/7/2005,600,Heavy Rain, , ,0,0,0,0,CA,PST, ,1184574,C,43,HNX,0,0,TRAINED SPOTTER, , , , , , , ,COUNTYWIDE, , , , ,,"Persistent closed low pressure off the Southern California Coast, beneath a blocking ridge, set a second period of rain and numerous problems for Interior Central California. The low resulted in gusty pre-frontal wind varying to high rainfall accumulations on the San Joaquin Valley Floor and Kern Deserts and snow in the higher elevations of the Southern Sierra Nevada, Tulare County Mountains, and the Kern County Mountains. On the Valley floor the 5-day rain total for Merced was 2.27",39,,
5442192,MADERA CO.,MADERA,2/15/2005,7,Heavy Rain, , ,0,0,0,0,CA,PST, ,1185315,C,39,HNX,0,0,OFFICIAL NWS OBS., , , , , , , ,MADERA, , , , ,,The period from the 15th into the 22nd of the month marked a period of unsettled weather for Interior Central California. Rain occurred during this time period with some locally heavy rain showers or thundershowers. On the 15th Central California was particularly hard hit with much above normal daily rain amounts as Merced received 1.24 during the 24-hour period,40,,
5444653,MADERA CO.,BASS LAKE,3/19/2005,1600,Heavy Rain, , ,0,0,0,0,CA,PST, ,1186441,C,39,HNX,0,0,NEWSPAPER, , , , , , , ,BASS LAKE, , , , ,,"Afternoon thunderstorm activity brought lightning and locally heavy rain across portions of Central California, including Central Fresno County and the foothill areas of Mariposa County. A rock slide triggered by locally heavy rain occurred east of Fresno in the foothills and also in Mariposa County about 4 miles east of Hornitos. In West Fresno County at Mendota, 0.25 of rain fell in an 8-minute period during the afternoon. In Madera County",41,,
5444642,MARIPOSA CO.,MARIPOSA,3/23/2005,1300,Heavy Rain, , ,0,0,0,0,CA,PST, ,1186438,C,43,HNX,0,0,NEWSPAPER, , , , , , , ,MARIPOSA, , , , ,,"Several reports of funnel clouds were received on the 23rd of the month in the South Fresno County and Tulare County area. Locally heavy rain and thundershowers continue to add to the monthly precipitation totals. The saturated soils from numerous rain events led to runoff from Arroyo Pasajero limiting access to Huron in West Fresno County. An additional 1.36 of rain in the Mariposa area caused concern for Merced County residents near Bear Creek east of the city of Merced. The continued rain also led to a rockslide across General's Highway about 9 miles northeast of Three Rivers in Tulare County. Storm precipitation totals for the period from the 18th through the 23rd of the month included: Merced Airport 2.27""; Madera Airport 1.28""; Fresno 1.92""; and",42,,
5449078,MADERA CO.,COUNTYWIDE,5/5/2005,1411,Heavy Rain, , ,0,0,200000,0,CA,PST, ,1189349,C,39,HNX,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,,Madera received 1.42 of rain during a 24-hour period ending by early on the 6th with over half of that occurring between Noon and 3 PM PST on the 5th from afternoon thunderstorms. Water collecting on a roof in downtown Madera led to its collapse and subsequent damage in mid-afternoon. Numerous locations around Madera had street flooding with other reported flooding in Madera County including a freeway offramp in the city of Madera as well as rural roadway flooding 14 miles east of Madera. Chowchilla,43,,
5449179,MADERA CO.,COUNTYWIDE,5/8/2005,1700,Heavy Rain, , ,0,0,0,4000000,CA,PST, ,1189356,C,39,HNX,0,0,GOVT OFFICIAL, , , , , , , ,COUNTYWIDE, , , , ,,"A series of three unseasonably heavy rain events, accompanied by hail at times, adversely impacted Interior Central California agriculture. Rain and large hail events around April 28th, and rain and small hail around May 5th, and again around May 9th caused extensive problems in the local cherry crop. Other crops negatively impacted from the rain included alfalfa, apricots, table grapes, nectarines, peaches, strawberries, cotton, and tomatoes.",44,,
5449076,MARIPOSA CO.,COUNTYWIDE,5/15/2005,2200,Heavy Rain, , ,0,0,0,0,CA,PST, ,1189348,C,43,HNX,0,0,TRAINED SPOTTER, , , , , , , ,COUNTYWIDE, , , , ,,"After a persistent and longer-than-normal cool season, significantly heavy rain occurred onto the large Southern Sierra Nevada snowpack beginning late in the evening of the 15th and continued into the morning of the 16th. With snow levels above 7000 feet, rainfall amounts averaging 1.75 in the mountain areas combined with a snowmelt runoff contribution of about 1"" water equivalent caused river flooding on the Yosemite Valley floor in Yosemite National Park. The Merced River rose 3 feet between 0100 and 0500 PST on the morning of the 16th prompting park personnel to evacuate campers in Yosemite Valley. The Merced River on the Yosemite Valley Floor rose above its Flood Stage of 10.0 feet by 0645 PST and subsequently crested at 12.5 feet at 1430 PST on the 16th forcing park personnel to even close roads into the Yosemite Valley.""",45,,
5449077,MADERA CO.,COUNTYWIDE,5/15/2005,2200,Heavy Rain, , ,0,0,0,0,CA,PST, ,1189348,C,39,HNX,0,0,TRAINED SPOTTER, , , , , , , ,COUNTYWIDE, , , , ,,"After a persistent and longer-than-normal cool season, significantly heavy rain occurred onto the large Southern Sierra Nevada snowpack beginning late in the evening of the 15th and continued into the morning of the 16th. With snow levels above 7000 feet, rainfall amounts averaging 1.75 in the mountain areas combined with a snowmelt runoff contribution of about 1"" water equivalent caused river flooding on the Yosemite Valley floor in Yosemite National Park. The Merced River rose 3 feet between 0100 and 0500 PST on the morning of the 16th prompting park personnel to evacuate campers in Yosemite Valley. The Merced River on the Yosemite Valley Floor rose above its Flood Stage of 10.0 feet by 0645 PST and subsequently crested at 12.5 feet at 1430 PST on the 16th forcing park personnel to even close roads into the Yosemite Valley.""",46,,
5462025,MARIPOSA CO.,COUNTYWIDE,6/1/2005,0,Heavy Rain, , ,0,0,0,0,CA,PST, ,1193314,C,43,HNX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"The 2004-2005 cool season in Interior Central California was one of the better rain accumulation years recently. Rain periods with snow at the higher elevations started in mid-October and continued consistently through mid-May. This water year was in stark contrast to the averaged below normal rainfall from the past 6 years. Generally the Central and South San Joaquin Valley ended with 140% of rainfall normals while the higher elevation snowpack for the Southern Sierra Nevada finished at 185% of normal and the Kern River Basin on the Southern end of the S.Sierra Nevada at 154% of normal. From October through May every month had above normal rain/snow amounts with the exception of just below normal precipitation for November and April. October, December, and May had significantly large amounts of rain/snow. Furthermore, the mountain snowpack was marked by its staying power as cool weather persisted into June and reservoirs were able to hold more water for a longer period of time than ever seen before. Campgrounds at the higher elevations of the Southern Sierra Nevada in Yosemite National Park did not open for the summer of 2005 due to the large and late snowpack.",47,,
5478964,MENDOCINO CO.,COUNTYWIDE,6/9/2005,800,Heavy Rain, , ,0,0,0,0,CA,PST, ,1199666,C,45,EKA,0,0,TRAINED SPOTTER, , , , , , , ,COUNTYWIDE, , , , ,,"pear, hay, and grape crops were impacted by heavy rains during the period",48,,
5469634,MARIPOSA CO.,WAWONA,8/16/2005,1444,Heavy Rain, , ,0,0,0,0,CA,PST, ,1197219,C,43,HNX,0,0,OFFICIAL NWS OBS., , , , , , , ,WAWONA, , , , ,A thunderstorm cell near Wawona in Mariposa County produced an estimated 2 to 2.5 inches of rain in an hour on the afternoon of the 16th.,,49,,
5488483,LAKE CO.,COUNTYWIDE,12/17/2005,2100,Heavy Rain, , ,0,0,0,0,CA,PST, ,1203162,C,33,STO,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,COUNTYWIDE, , , ,50,,
5483981,LASSEN CO.,JANESVILLE,12/30/2005,900,Heavy Rain, , ,0,0,0,0,CA,PST, ,1202716,C,35,REV,0,0,TRAINED SPOTTER, , , ,1,E,1,E,JANESVILLE, , , , ,A total of 4.75 inches of rain fell in a 24-hour period 1 mile east of Janesville.,,51,,
5491911,MARIPOSA CO.,MARIPOSA,1/1/2006,1200,Heavy Rain, , ,0,0,0,0,CA,PST, ,1204024,C,43,HNX,0,0,NEWSPAPER, , , , , , , ,MARIPOSA, , , , ,,Heavy rainfall and strong wind occurred by the 2nd of the month in Mariposa County. Trees were downed at several locations and over 4 inches of rain occurred during the 1st two days of the month at the city of Mariposa.,52,,
5491897,MADERA CO.,MADERA MUNI ARPT,1/1/2006,1206,Heavy Rain, , ,0,0,0,0,CA,PST, ,1204020,C,39,HNX,0,0,OFFICIAL NWS OBS., , , , , , , ,MADERA MUNI ARPT, , , , ,,"Madera Airport received 2.31 of rain in a little more than 24 hours leading to widespread ponding of water on the Central San Joaquin Valley Floor. In the foothill regions of the county gusty wind caused damage around the community of Oakhurst along with numerous downed trees.""",53,,
5490062,LASSEN CO.,JANESVILLE,2/26/2006,1700,Heavy Rain, , ,0,0,0,0,CA,PST, ,1204500,C,35,REV,0,0,TRAINED SPOTTER, , , ,3,NW,3,NW,JANESVILLE, , , , ,A total of 4.30 inches of rain fell 3 miles northwest of Janesville.,,54,,
5490063,LASSEN CO.,JANESVILLE,2/26/2006,2300,Heavy Rain, , ,0,0,0,0,CA,PST, ,1204501,C,35,REV,0,0,TRAINED SPOTTER, , , ,1,E,1,E,JANESVILLE, , , , ,A total of 4.54 inches of rain fell 1 mile east of Janesville.,,55,,
5499065,MADERA CO.,COUNTYWIDE,3/2/2006,930,Heavy Rain, , ,0,0,0,0,CA,PST, ,1206557,C,39,HNX,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE, , , , ,,"The month of March started wet and continued in Interior Central California. As example, Fresno had 4.73 of precipitation during the month which is 2.53"" above normal and makes it the 6th wettest March on record [There was rain reported on 21 of 30 days of the month. For Fresno this was the wettest March since 1995 when 5.88"" of rain fell]; Madera had 4.26"" of rain or 1.97"" above normal; Merced had 3.36"" of rain or 1.13"" above normal; and",56,,
